Time,TPS,Latency
14.692386,8808.540275,0.000000
14.692663,8808.993396,0.000000
14.704426,8809.514373,0.000000
14.704517,8810.145491,0.000000
14.704588,8810.798940,0.000000
14.704651,8811.366899,0.000000
14.716733,8811.881091,0.000000
14.720594,8805.511827,0.000000
14.720831,8806.137322,0.000000
14.721098,8806.775437,0.000000
14.721191,8807.417463,0.000000
14.721359,8800.866159,0.000000
14.721423,8799.237487,0.000000
14.721488,8799.774884,0.000000
14.721690,8800.294403,0.000000
14.721832,8800.918598,0.000000
14.721934,8801.497049,0.000000
14.722012,8802.138292,0.000000
14.722286,8802.778358,0.000000
14.722437,8803.337141,0.000000
14.722505,8803.931592,0.000000
14.722589,8804.550027,0.000000
14.722632,8805.182559,0.000000
14.722713,8805.697752,0.000000
14.729017,8806.286373,0.000000
14.731343,8806.925155,0.000000
14.732272,8807.554285,0.000000
14.732663,8808.207787,0.000000
14.732810,8808.838625,0.000000
14.733311,8805.747385,0.000000
14.733898,8805.035456,0.000000
14.734239,8805.158928,0.000000
14.781541,8805.604205,0.000000
14.791236,8806.194928,0.000000
14.796295,8806.574310,0.000000
14.796939,8806.902487,0.000000
14.797174,8807.377456,0.000000
14.797231,8779.869136,0.000000
14.798166,8774.790446,0.000000
14.801235,8772.466326,0.000000
14.801596,8772.760465,0.000000
14.802350,8773.296649,0.000000
14.803032,8773.938878,0.000000
14.806463,8774.060097,0.000000
14.816646,8772.916362,0.000000
14.817065,8773.378098,0.000000
14.817872,8773.606894,0.000000
14.819451,8773.878216,0.000000
14.822007,8772.520536,0.000000
14.822290,8767.166408,0.000000
14.822507,8767.593361,0.000000
14.822551,8767.790580,0.000000
14.823071,8767.531538,0.000000
14.823189,8766.693814,0.000000
14.823174,8767.201585,0.000000
14.825428,8767.747563,0.000000
14.825539,8768.395963,0.000000
14.826127,8768.763061,0.000000
14.826155,8770.042372,0.000000
14.826474,8769.376923,0.000000
14.826652,8769.392769,0.000000
14.826789,8770.001377,0.000000
14.826822,8770.327972,0.000000
14.827075,8770.986114,0.000000
14.827393,8771.471674,0.000000
14.827625,8772.040879,0.000000
14.827703,8772.634674,0.000000
14.827846,8773.289134,0.000000
14.828263,8773.814268,0.000000
14.829357,8774.300279,0.000000
14.835854,8774.837409,0.000000
14.843060,8775.465515,0.000000
14.845205,8776.055266,0.000000
14.845231,8776.482953,0.000000
14.845762,8776.510000,0.000000
14.848476,8773.340362,0.000000
14.849582,8769.755122,0.000000
14.851170,8769.161490,0.000000
14.851439,8769.819625,0.000000
14.851652,8770.179443,0.000000
14.851841,8769.250025,0.000000
14.851698,8769.270408,0.000000
14.852055,8769.005881,0.000000
14.852064,8769.520854,0.000000
14.852126,8770.068408,0.000000
14.852251,8771.302995,0.000000
14.852311,8770.714003,0.000000
14.852540,8771.850361,0.000000
14.852573,8772.518082,0.000000
14.852645,8773.154667,0.000000
14.852731,8773.754006,0.000000
14.852825,8774.392055,0.000000
14.852965,8774.930202,0.000000
14.853013,8775.583670,0.000000
14.853282,8776.214360,0.000000
14.858165,8776.837043,0.000000
14.858277,8777.454621,0.000000
14.858477,8778.045080,0.000000
14.860998,8778.690493,0.000000
14.862791,8779.204586,0.000000
14.864513,8776.992584,0.000000
14.864603,8777.599327,0.000000
14.865328,8778.154120,0.000000
14.866334,8777.337687,0.000000
14.866813,8776.951588,0.000000
14.867219,8776.607676,0.000000
14.868323,8777.227596,0.000000
14.868764,8777.472005,0.000000
14.869103,8777.550673,0.000000
14.871946,8777.940528,0.000000
14.872050,8778.373290,0.000000
14.872202,8778.394124,0.000000
14.872254,8778.806091,0.000000
14.872337,8779.278971,0.000000
14.873398,8778.272617,0.000000
14.876614,8778.883682,0.000000
14.876733,8779.466674,0.000000
14.876856,8780.108173,0.000000
14.877349,8780.731538,0.000000
14.877412,8780.777354,0.000000
14.880380,8779.551805,0.000000
14.892237,8780.153275,0.000000
14.893891,8780.752990,0.000000
14.897760,8781.134499,0.000000
14.897961,8781.769229,0.000000
14.898187,8780.689445,0.000000
14.898310,8774.370261,0.000000
14.898587,8774.067362,0.000000
14.898979,8772.459654,0.000000
14.899086,8773.012432,0.000000
14.899181,8773.550719,0.000000
14.899277,8774.149526,0.000000
14.900424,8774.657550,0.000000
14.901518,8775.098092,0.000000
14.901576,8775.705935,0.000000
14.902110,8776.321403,0.000000
14.902321,8776.936028,0.000000
14.902453,8776.931669,0.000000
14.902611,8776.957914,0.000000
14.902643,8777.595190,0.000000
14.903455,8777.951628,0.000000
14.903575,8778.498452,0.000000
14.903984,8779.091898,0.000000
14.904152,8779.669647,0.000000
14.904208,8780.321890,0.000000
14.904293,8780.514538,0.000000
14.904346,8781.114696,0.000000
14.904331,8781.544512,0.000000
14.904315,8782.116578,0.000000
14.904763,8782.754778,0.000000
14.905570,8783.375097,0.000000
14.905639,8785.357190,0.000000
14.905730,8784.694987,0.000000
14.905869,8784.033349,0.000000
14.905914,8785.782397,0.000000
14.908874,8785.977420,0.000000
14.908996,8786.607391,0.000000
14.910405,8787.224901,0.000000
14.910638,8787.813418,0.000000
14.910737,8788.457934,0.000000
14.911072,8787.384017,0.000000
14.911102,8787.982526,0.000000
14.911156,8789.835165,0.000000
14.911249,8790.368179,0.000000
14.911379,8790.980743,0.000000
14.909063,8791.453588,0.000000
14.909262,8792.106517,0.000000
14.909048,8792.745757,0.000000
14.921516,8793.361504,0.000000
14.921609,8793.955200,0.000000
14.921736,8789.284770,0.000000
14.921865,8789.838057,0.000000
14.922345,8788.622806,0.000000
14.922924,8788.651405,0.000000
14.923292,8789.266798,0.000000
14.923497,8789.861861,0.000000
14.926484,8790.456324,0.000000
14.943916,8790.843800,0.000000
14.947960,8791.172487,0.000000
14.948079,8791.625992,0.000000
14.948816,8792.174891,0.000000
14.948838,8791.085868,0.000000
14.949190,8781.500331,1.000000
14.949303,8779.793607,1.000000
